OUTPUT	R1	R1_RATING
1975	989.3	1000
2388	817.7	820
2903	670	680
3464	558.8	560
4141	464.5	470
5033	380.5	390
8590	217.9	220
10429	177.75	180
7055	267.79	270
763	2647.2	2700
447.7	4638	4700
268.4	8102	8200
225.3	9872	10000
137.9	17710	18000
87.32	32700	33000
69.59	46580	47000
52.02	80290	82000
38.62	177950	180000
